,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid
SNU-308,SNU-308,NA,SNU-308,NA,NA,NA,NA,NA,NA,SNU-308,NA,NA,SNU308,NA,NA,NA,biliary_tract,NA,NA,NA,NA,NA,NA,biliary_tract,NA,NA,NA,biliary_tract,biliary_tract,biliary_tract,NA,NA,SNU308,biliary_tract
SNU-324,SNU-324,NA,SNU-324,NA,NA,NA,NA,NA,NA,SNU-324,NA,NA,NA,NA,NA,NA,pancreas,NA,NA,NA,NA,NA,NA,pancreas,NA,NA,NA,pancreas,pancreas,NA,NA,NA,NA,NA
SNU-349,SNU-349,NA,SNU-349,NA,NA,NA,NA,NA,NA,SNU-349,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA
SNU-398,SNU-398,NA,SNU-398,SNU398,NA,NA,SNU-398,SNU398,SNU-398,SNU-398,SNU-398,NA,SNU398,SNU-398,SNU-398,NA,liver,liver,NA,NA,Liver,LIVER,Liver,liver,NA,NA,NA,liver,liver,liver,Liver,liver,SNU398,liver
SNU-407,SNU-407,NA,SNU-407,NA,NA,NA,NA,NA,SNU-407,SNU-407,SNU-407,NA,SNU407,NA,SNU-407,NA,large_intestine,NA,NA,NA,NA,NA,large_intestine,large_intestine,NA,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine,SNU407,large_intestine
SNU-410,SNU-410,NA,SNU-410,NA,NA,NA,NA,NA,NA,SNU-410,NA,NA,SNU410,NA,NA,NA,pancreas,NA,NA,NA,NA,NA,NA,pancreas,NA,NA,NA,pancreas,pancreas,pancreas,NA,NA,NA,NA
SNU-46,SNU-46,NA,SNU-46,NA,NA,NA,NA,NA,NA,NA,NA,NA,SNU46,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,SNU46,upper_aerodigestive_tract
SNU-466,SNU-466,NA,SNU-466,NA,NA,NA,NA,NA,NA,SNU-466,NA,NA,SNU466,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,SNU466,central_nervous_system
SNU-478,SNU-478,NA,SNU-478,NA,NA,NA,NA,NA,NA,SNU-478,NA,NA,SNU478,NA,NA,NA,biliary_tract,NA,NA,NA,NA,NA,NA,pancreas,NA,NA,NA,pancreas,pancreas,biliary_tract,NA,NA,SNU478,biliary_tract
SNU-489,SNU-489,NA,SNU-489,NA,NA,NA,NA,NA,NA,SNU-489,NA,NA,SNU489,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,NA,NA
SNU-503,SNU-503,NA,SNU-503,NA,NA,NA,NA,NA,NA,SNU-503,NA,NA,SNU503,NA,NA,NA,large_intestine,NA,NA,NA,NA,NA,NA,large_intestine,NA,NA,NA,large_intestine,large_intestine,large_intestine,NA,NA,SNU503,large_intestine
SNU-520,SNU-520,NA,SNU-520,NA,NA,NA,NA,NA,NA,SNU-520,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,stomach,stomach,NA,NA,NA,NA,NA
SNU-601,SNU-601,NA,SNU-601,NA,NA,NA,SNU-601,NA,NA,SNU-601,NA,NA,SNU601,NA,NA,NA,stomach,NA,NA,NA,Stomach,NA,NA,stomach,NA,NA,NA,stomach,stomach,stomach,NA,NA,SNU601,stomach
SNU-61,SNU-61,NA,SNU-61,NA,NA,NA,NA,SNU61,SNU-61,SNU-61,SNU-61,NA,SNU61,NA,SNU-61,NA,large_intestine,NA,NA,NA,NA,LARGE_INTESTINE,large_intestine,large_intestine,NA,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine,SNU61,large_intestine
SNU-620,SNU-620,NA,SNU-620,NA,NA,NA,SNU-620,NA,NA,SNU-620,NA,NA,SNU620,NA,NA,NA,stomach,NA,NA,NA,Stomach,NA,NA,stomach,NA,NA,NA,stomach,stomach,stomach,NA,NA,NA,NA
SNU-626,SNU-626,NA,SNU-626,NA,NA,NA,NA,NA,NA,SNU-626,NA,NA,SNU626,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,NA,NA
SNU-668,SNU-668,NA,SNU-668,NA,NA,NA,SNU-668,NA,NA,SNU-668,NA,NA,SNU668,NA,NA,NA,stomach,NA,NA,NA,Stomach,NA,NA,stomach,NA,NA,NA,stomach,stomach,stomach,NA,NA,SNU668,stomach
SNU-685,SNU-685,NA,SNU-685,NA,NA,NA,NA,NA,NA,SNU-685,NA,NA,SNU685,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,endometrium,endometrium,NA,NA,SNU685,endometrium
SNU-719,SNU-719,NA,SNU-719,NA,NA,NA,SNU-719,NA,NA,SNU-719,NA,NA,SNU719,NA,NA,NA,stomach,NA,NA,NA,Stomach,NA,NA,stomach,NA,NA,NA,stomach,stomach,stomach,NA,NA,SNU719,stomach
SNU-738,SNU-738,NA,SNU-738,NA,NA,NA,NA,NA,NA,SNU-738,NA,NA,SNU738,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,NA,NA
SNU-761,SNU-761,NA,SNU-761,NA,NA,NA,NA,NA,NA,SNU-761,NA,NA,SNU761,NA,NA,NA,liver,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,NA,liver,liver,NA,NA,SNU761,liver
SNU-8,SNU-8,NA,SNU-8,NA,NA,NA,NA,NA,NA,SNU-8,NA,NA,SNU8,NA,NA,NA,ovary,NA,NA,NA,NA,NA,NA,ovary,NA,NA,NA,NA,ovary,ovary,NA,NA,NA,NA
SNU-81,SNU-81,NA,SNU-81,NA,NA,NA,NA,SNU81,SNU-81,SNU-81,NA,NA,SNU81,NA,SNU-81,NA,large_intestine,NA,NA,NA,NA,LARGE_INTESTINE,large_intestine,large_intestine,NA,NA,NA,large_intestine,large_intestine,large_intestine,NA,large_intestine,SNU81,large_intestine
SNU-840,SNU-840,NA,SNU-840,NA,NA,NA,NA,SNU840,NA,SNU-840,NA,NA,SNU840,NA,NA,NA,ovary,NA,NA,NA,NA,OVARY,NA,ovary,NA,NA,NA,NA,ovary,ovary,NA,NA,SNU840,ovary
SNU-869,SNU-869,NA,SNU-869,NA,NA,NA,NA,NA,NA,SNU-869,NA,NA,SNU869,NA,NA,NA,biliary_tract,NA,NA,NA,NA,NA,NA,pancreas,NA,NA,NA,pancreas,pancreas,biliary_tract,NA,NA,SNU869,biliary_tract
SNU-878,SNU-878,NA,SNU-878,NA,NA,NA,NA,NA,NA,SNU-878,NA,NA,SNU878,NA,NA,NA,liver,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,NA,liver,liver,NA,NA,NA,NA
SNU-886,SNU-886,NA,SNU-886,NA,NA,NA,NA,NA,NA,SNU-886,NA,NA,SNU886,NA,NA,NA,liver,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,NA,liver,liver,NA,NA,SNU886,liver
SNU-899,SNU-899,NA,SNU-899,NA,NA,NA,NA,NA,NA,SNU-899,NA,NA,SNU899,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,NA,NA,SNU899,upper_aerodigestive_tract
SNU-C2A,SNU-C2A,NA,SNU-C2A,NA,NA,NA,NA,SNUC2A,NA,SNU-C2A,NA,NA,SNUC2A,NA,NA,NA,large_intestine,NA,NA,NA,NA,LARGE_INTESTINE,NA,large_intestine,NA,NA,NA,large_intestine,large_intestine,large_intestine,NA,NA,SNUC2A,large_intestine
SNU-C4,SNU-C4,NA,SNU-C4,NA,NA,NA,NA,SNUC4,NA,SNU-C4,NA,NA,SNUC4,NA,NA,NA,large_intestine,NA,NA,NA,NA,LARGE_INTESTINE,NA,large_intestine,NA,NA,NA,large_intestine,large_intestine,large_intestine,NA,NA,SNUC4,large_intestine
SNU-C5,SNU-C5,NA,SNU-C5,NA,NA,NA,NA,SNUC5,SNU-C5,SNU-C5,SNU-C5,NA,SNUC5,NA,SNU-C5,NA,large_intestine,NA,NA,NA,NA,LARGE_INTESTINE,large_intestine,large_intestine,NA,NA,NA,NA,large_intestine,large_intestine,NA,large_intestine,SNUC5,large_intestine
Sq-1,Sq-1,NA,Sq-1,NA,NA,NA,NA,SQ1,NA,Sq-1,NA,NA,SQ1,NA,NA,NA,lung,NA,NA,NA,NA,LUNG,NA,lung,NA,NA,NA,lung,lung,lung,NA,NA,NA,NA
SU-DHL-10,SU-DHL-10,NA,SU-DHL-10,SUDHL10,NA,NA,SU-DHL-10,NA,SU-DHL-10,SU-DHL-10,SU-DHL-10,NA,SUDHL10,SU-DHL-10,SU-DHL-10,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Pleura,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lung,haematopoietic_and_lymphoid_tissue,NA,NA
SU-DHL-4,SU-DHL-4,NA,SU-DHL-4,NA,NA,NA,SU-DHL-4,SUDHL4,SU-DHL-4,SU-DHL-4,SU-DHL-4,NA,SUDHL4,SU-DHL-4,SU-DHL-4,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Lymph Node,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,NA
SU-DHL-5,SU-DHL-5,NA,SU-DHL-5,SUDHL5,NA,NA,SU-DHL-5,SUDHL5,SU-DHL-5,SU-DHL-5,SU-DHL-5,NA,NA,NA,SU-DHL-5,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Lymph Node,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA
SU-DHL-6,SU-DHL-6,NA,SU-DHL-6,SUDHL6,NA,NA,SU-DHL-6,NA,SU-DHL-6,SU-DHL-6,SU-DHL-6,NA,SUDHL6,SU-DHL-6,SU-DHL-6,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Lymph Node,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,NA
SU-DHL-8,SU-DHL-8,NA,SU-DHL-8,NA,NA,NA,SU-DHL-8,NA,SU-DHL-8,SU-DHL-8,SU-DHL-8,NA,SUDHL8,SU-DHL-8,SU-DHL-8,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Lymph Node,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Lymphoid,haematopoietic_and_lymphoid_tissue,NA,NA
SU.86.86,SU.86.86,NA,SU.86.86,NA,NA,NA,SU.86.86,NA,SU8686,SU.86.86,SU8686,NA,SU8686,SU.86.86,SU8686,NA,pancreas,NA,NA,NA,Pancreas,NA,pancreas,pancreas,NA,NA,NA,NA,pancreas,pancreas,Pancreas,pancreas,SU8686,pancreas
SUIT-2,SUIT-2,NA,SUIT-2,NA,NA,NA,SUIT-2,SUIT2,SUIT-2,SUIT-2,SUIT-2,NA,SUIT2,SUIT-2,SUIT-2,NA,pancreas,NA,NA,NA,Pancreas,PANCREAS,Pancreas,pancreas,NA,NA,NA,pancreas,pancreas,pancreas,Pancreas,pancreas,NA,NA
SUP-B15,SUP-B15,NA,SUP-B15,NA,NA,NA,SUP-B15,NA,SUP-B15,SUP-B15,SUP-B15,NA,SUPB15,NA,SUP-B15,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
SUP-HD1,SUP-HD1,NA,SUP-HD1,NA,NA,NA,NA,NA,SUP-HD1,NA,SUP-HD1,NA,SUPHD1,NA,SUP-HD1,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
SUP-M2,SUP-M2,NA,SUP-M2,NA,NA,NA,NA,NA,SUP-M2,SUP-M2,NA,NA,SUPM2,NA,SUP-M2,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Blood,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
SUP-T11,SUP-T11,NA,SUP-T11,NA,NA,NA,NA,NA,NA,SUP-T11,NA,NA,SUPT11,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA
SW 1271,SW 1271,NA,SW 1271,NA,NA,NA,NA,NA,SW1271,SW_1271,SW1271,NA,SW1271,NA,SW1271,NA,lung,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA,lung,lung,NA,lung,SW1271,lung
SW 1353,SW 1353,NA,SW 1353,SW1353,NA,NA,NA,NA,NA,SW_1353,NA,NA,SW1353,NA,NA,NA,bone,bone,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,bone,bone,NA,NA,NA,NA
SW480,SW480,NA,SW480,SW480,NA,NA,SW 480,SW480,NA,SW480,NA,NA,NA,SW 480,NA,NA,large_intestine,colon,NA,NA,Colon,LARGE_INTESTINE,NA,large_intestine,NA,NA,NA,large_intestine,large_intestine,NA,Colon,NA,SW480,large_intestine
SW579,SW579,NA,SW579,SW579,NA,NA,NA,NA,NA,SW579,NA,NA,SW579,NA,NA,NA,thyroid,thyroid,NA,NA,NA,NA,NA,upper_aerodigestive_tract,NA,NA,NA,upper_aerodigestive_tract,upper_aerodigestive_tract,thyroid,NA,NA,SW579,thyroid
T.T,T.T,NA,T.T,NA,NA,NA,NA,NA,NA,T.T,NA,NA,NA,NA,T-T,NA,oesophagus,NA,NA,NA,NA,NA,NA,oesophagus,NA,NA,NA,NA,oesophagus,NA,NA,oesophagus,JCRB0262,NA
T3M-10,T3M-10,NA,T3M-10,NA,NA,NA,NA,T3M10,NA,T3M-10,NA,NA,T3M10,NA,NA,NA,lung,NA,NA,NA,NA,LUNG,NA,lung,NA,NA,NA,NA,lung,lung,NA,NA,T3M10,lung
T3M-4,T3M-4,NA,T3M-4,NA,NA,NA,NA,NA,NA,T3M-4,NA,NA,NA,NA,NA,NA,pancreas,NA,NA,NA,NA,NA,NA,pancreas,NA,NA,NA,NA,pancreas,NA,NA,NA,NA,NA
TC-32,TC-32,NA,TC-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bone,bone,NA,NA,NA,NA,NA
TC-71,TC-71,NA,TC-71,NA,NA,NA,TC-71,NA,TC-71,TC-71,TC-71,NA,TC71,TC-71,TC-71,NA,bone,NA,NA,NA,Bone,NA,bone,bone,NA,NA,NA,bone,bone,bone,Bone,bone,NA,NA
TCC-PAN2,TCC-PAN2,NA,TCC-PAN2,NA,NA,NA,TCC-PAN2,NA,NA,TCC-PAN2,NA,NA,TCCPAN2,NA,NA,NA,pancreas,NA,NA,NA,Pancreas,NA,NA,pancreas,NA,NA,NA,NA,pancreas,pancreas,NA,NA,TCCPAN2,pancreas
TE 125.T,TE 125.T,NA,TE 125.T,NA,NA,NA,NA,NA,NA,TE_125.T,NA,NA,NA,NA,NA,NA,soft_tissue,NA,NA,NA,NA,NA,NA,soft_tissue,NA,NA,NA,NA,soft_tissue,NA,NA,NA,TE125T,soft_tissue
TE 159.T,TE 159.T,NA,TE 159.T,NA,NA,NA,NA,NA,NA,TE_159.T,NA,NA,NA,NA,NA,NA,soft_tissue,NA,NA,NA,NA,NA,NA,soft_tissue,NA,NA,NA,NA,soft_tissue,NA,NA,NA,NA,NA
TE 617.T,TE 617.T,NA,TE 617.T,NA,NA,NA,NA,NA,NA,TE_617.T,NA,NA,TE617T,NA,NA,NA,soft_tissue,NA,NA,NA,NA,NA,NA,soft_tissue,NA,NA,NA,NA,soft_tissue,soft_tissue,NA,NA,TE617T,soft_tissue
TE-14,TE-14,NA,TE-14,NA,NA,NA,NA,NA,NA,TE-14,NA,NA,TE14,NA,NA,NA,oesophagus,NA,NA,NA,NA,NA,NA,oesophagus,NA,NA,NA,oesophagus,oesophagus,oesophagus,NA,NA,TE14,oesophagus
TE-4,TE-4,NA,TE-4,NA,NA,NA,NA,NA,TE-4,TE-4,TE-4,NA,TE4,NA,TE-4,NA,oesophagus,NA,NA,NA,NA,NA,Esophagus,oesophagus,NA,NA,NA,oesophagus,oesophagus,oesophagus,NA,oesophagus,TE4,oesophagus
TEN,TEN,NA,TEN,NA,NA,NA,NA,NA,NA,TEN,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,NA
TF-1,TF-1,NA,TF-1,NA,NA,NA,NA,NA,NA,TF-1,NA,NA,TF1,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
TIG-3 TD,TIG-3 TD,NA,TIG-3 TD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA
TM-31,TM-31,NA,TM-31,NA,NA,NA,NA,NA,NA,TM-31,NA,NA,TM31,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,central_nervous_system,central_nervous_system,NA,NA,TM31,central_nervous_system
TO 175.T,TO 175.T,NA,TO 175.T,TO175T,NA,NA,NA,NA,NA,TO_175.T,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
Toledo,Toledo,NA,Toledo,TOLEDO,NA,NA,Toledo,NA,NA,Toledo,NA,NA,TOLEDO,NA,NA,NA,haematopoietic_and_lymphoid_tissue,hematopoietic_and_lymphatic_system,NA,NA,Lymph Node,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,haematopoietic_and_lymphoid_tissue,NA,NA
TOV-112D,TOV-112D,NA,TOV-112D,NA,NA,NA,TOV-112D,NA,TOV-112D,TOV-112D,TOV-112D,NA,TOV112D,TOV-112D,TOV-112D,NA,ovary,NA,NA,NA,Ovary,NA,Ovary,ovary,NA,NA,NA,ovary,ovary,ovary,Ovary,ovary,TOV112D,ovary
TOV-21G,TOV-21G,NA,TOV-21G,NA,NA,NA,NA,NA,TOV-21G,TOV-21G,TOV-21G,NA,TOV21G,TOV-21G,TOV-21G,NA,ovary,NA,NA,NA,NA,NA,Ovary,ovary,NA,NA,NA,ovary,ovary,ovary,Ovary,ovary,TOV21G,ovary
TT2609-C02,TT2609-C02,NA,TT2609-C02,NA,NA,NA,NA,NA,TT2609-C02,TT2609-C02,TT2609-C02,NA,TT2609C02,NA,TT2609-C02,NA,thyroid,NA,NA,NA,NA,NA,Thyroid,thyroid,NA,NA,NA,thyroid,thyroid,thyroid,NA,thyroid,TT2609C02,thyroid
TUHR10TKB,TUHR10TKB,NA,TUHR10TKB,NA,NA,NA,NA,NA,NA,TUHR10TKB,NA,NA,TUHR10TKB,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,kidney,kidney,NA,NA,TUHR10TKB,kidney
TUHR14TKB,TUHR14TKB,NA,TUHR14TKB,NA,NA,NA,NA,NA,NA,TUHR14TKB,NA,NA,TUHR14TKB,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,kidney,kidney,NA,NA,NA,NA
TUHR4TKB,TUHR4TKB,NA,TUHR4TKB,NA,NA,NA,NA,NA,NA,TUHR4TKB,NA,NA,TUHR4TKB,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,kidney,kidney,NA,NA,NA,NA
U-138 MG,U-138 MG,NA,U-138 MG,U138MG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,cns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA
U-178,U-178,NA,U-178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA
U-937,U-937,NA,U-937,NA,NA,NA,U-937,U937,NA,U-937,NA,NA,U937,U-937,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,Blood,HEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Blood,NA,NA,NA
U-BLC1,U-BLC1,NA,U-BLC1,NA,NA,NA,NA,NA,NA,U-BLC1,NA,NA,UBLC1,NA,NA,NA,urinary_tract,NA,NA,NA,NA,NA,NA,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,NA,UBLC1,urinary_tract
U343,U343,NA,U343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA
UM-UC-1,UM-UC-1,NA,UM-UC-1,NA,NA,NA,UM-UC-1,NA,NA,UM-UC-1,NA,NA,UMUC1,NA,NA,NA,urinary_tract,NA,NA,NA,Urinary Bladder,NA,NA,urinary_tract,NA,NA,NA,urinary_tract,urinary_tract,urinary_tract,NA,NA,UMUC1,urinary_tract
UMRC2,UMRC2,NA,UMRC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,kidney,NA,NA,NA,NA,NA
UMRC6,UMRC6,NA,UMRC6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,kidney,NA,NA,NA,NA,NA
UOK101,UOK101,NA,UOK101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,kidney,NA,NA,NA,NA,NA
UT-7,UT-7,NA,UT-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA
VCaP,VCaP,NA,VCaP,NA,NA,NA,NA,NA,VCaP,VCaP,VCaP,NA,VCAP,NA,VCaP,NA,prostate,NA,NA,NA,NA,NA,Prostate,prostate,NA,NA,NA,prostate,prostate,prostate,NA,prostate,VCAP,prostate
VMRC-LCD,VMRC-LCD,NA,VMRC-LCD,NA,NA,NA,VMRC-LCD,VMRCLCD,VMRC-LCD,NA,VMRC-LCD,NA,VMRCLCD,VMRC-LCD,VMRC-LCD,NA,lung,NA,NA,NA,Lung,LUNG,Lung:NSCLC,NA,NA,NA,NA,lung,lung,lung,Lung,lung,VMRCLCD,lung
VMRC-LCP,VMRC-LCP,NA,VMRC-LCP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,lung,NA,NA,NA,NA,NA
VMRC-RCW,VMRC-RCW,NA,VMRC-RCW,NA,NA,NA,NA,VMRCRCW,NA,VMRC-RCW,VMRC-RCW,NA,VMRCRCW,VMRC-RCW,VMRC-RCW,NA,kidney,NA,NA,NA,NA,KIDNEY,NA,kidney,NA,NA,NA,kidney,kidney,kidney,Kidney,kidney,VMRCRCW,kidney
WM-266-4,WM-266-4,NA,WM-266-4,NA,NA,NA,WM-266-4,NA,WM-266-4,WM-266-4,NA,NA,WM2664,WM-266-4,NA,NA,skin,NA,NA,NA,Skin,NA,Skin,skin,NA,NA,NA,skin,skin,skin,Skin,skin,WM2664,skin
WM-793,WM-793,NA,WM-793,NA,NA,NA,NA,NA,WM793B,WM-793,NA,NA,WM793,NA,NA,NA,skin,NA,NA,NA,NA,NA,Skin,skin,NA,NA,NA,skin,skin,skin,NA,skin,WM793,skin
WM-88,WM-88,NA,WM-88,NA,NA,NA,NA,NA,NA,WM-88,NA,NA,WM88,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,skin,skin,skin,NA,NA,WM88,skin
WM-983B,WM-983B,NA,WM-983B,NA,NA,NA,NA,NA,NA,WM983B,NA,NA,WM983B,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,skin,skin,skin,NA,NA,WM983B,NA
